               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12013,            0.030998,                   0,                   0,                   0,                   0,                   0,                   0,            0.019152,                   0,              0.0964,              0.0004,              0.0004
                   1,             0.11333,            0.031067,                   0,                   0,                   0,                   0,                   0,                   0,            0.016123,                   0,            0.091891,          0.00089109,          0.00089109
                   2,            0.099266,            0.031058,                   0,                   0,                   0,                   0,                   0,                   0,             0.01277,                   0,            0.087372,           0.0013723,           0.0013723
                   3,            0.088355,            0.030001,                   0,                   0,                   0,                   0,                   0,                   0,            0.010935,                   0,            0.082844,           0.0018436,           0.0018436
                   4,            0.084239,            0.031264,                   0,                   0,                   0,                   0,                   0,                   0,           0.0090261,                   0,            0.078305,            0.002305,            0.002305
                   5,            0.078547,            0.028067,                   0,                   0,                   0,                   0,                   0,                   0,           0.0075779,                   0,            0.073756,           0.0027564,           0.0027564
                   6,            0.075311,            0.026829,                   0,                   0,                   0,                   0,                   0,                   0,           0.0061567,                   0,            0.069198,            0.003198,            0.003198
                   7,            0.070104,            0.026425,                   0,                   0,                   0,                   0,                   0,                   0,           0.0053713,                   0,             0.06463,           0.0036297,           0.0036297
                   8,            0.068051,            0.024844,                   0,                   0,                   0,                   0,                   0,                   0,           0.0045402,                   0,            0.060052,           0.0040515,           0.0040515
                   9,            0.064065,            0.024353,                   0,                   0,                   0,                   0,                   0,                   0,           0.0043302,                   0,            0.055463,           0.0044634,           0.0044634
                  10,             0.06347,            0.023655,                   0,                   0,                   0,                   0,                   0,                   0,           0.0043354,                   0,            0.050865,           0.0048654,           0.0048654
                  11,            0.063148,            0.021247,                   0,                   0,                   0,                   0,                   0,                   0,           0.0045354,                   0,            0.046257,           0.0052575,           0.0052575
                  12,            0.062366,            0.020795,                   0,                   0,                   0,                   0,                   0,                   0,           0.0044746,                   0,             0.04164,           0.0056397,           0.0056397
                  13,            0.063916,            0.021485,                   0,                   0,                   0,                   0,                   0,                   0,           0.0046916,                   0,            0.037012,            0.006012,            0.006012
                  14,            0.062025,            0.021825,                   0,                   0,                   0,                   0,                   0,                   0,           0.0047655,                   0,            0.032374,           0.0063744,           0.0063744
                  15,            0.056029,             0.01988,                   0,                   0,                   0,                   0,                   0,                   0,            0.005271,                   0,            0.027727,           0.0067268,           0.0067268
                  16,            0.058252,            0.019058,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057507,                   0,            0.023069,           0.0070694,           0.0070694
                  17,            0.063328,            0.018064,                   0,                   0,                   0,                   0,                   0,                   0,           0.0053163,                   0,            0.018402,           0.0074021,           0.0074021
                  18,             0.05533,            0.018329,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057359,                   0,            0.013725,           0.0077249,           0.0077249
                  19,            0.052661,            0.019961,                   0,                   0,                   0,                   0,                   0,                   0,           0.0066457,                   0,           0.0090378,           0.0080378,           0.0080378
                  20,            0.063232,            0.017059,                   0,                   0,                   0,                   0,                   0,                   0,           0.0065279,                   0,             0.00802,             0.00802,             0.00802
                  21,             0.05815,            0.017357,                   0,                   0,                   0,                   0,                   0,                   0,           0.0058811,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.054018,            0.016658,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054314,                   0,            0.007921,            0.007921,            0.007921
                  23,             0.04743,            0.019371,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051222,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.056988,            0.016424,                   0,                   0,                   0,                   0,                   0,                   0,           0.0046852,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.048029,             0.01747,                   0,                   0,                   0,                   0,                   0,                   0,             0.00493,                   0,            0.007624,            0.007624,            0.007624
                  26,             0.04983,            0.017557,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051212,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.042811,            0.016899,                   0,                   0,                   0,                   0,                   0,                   0,           0.0047646,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.051196,            0.014348,                   0,                   0,                   0,                   0,                   0,                   0,           0.0048633,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.048036,             0.01327,                   0,                   0,                   0,                   0,                   0,                   0,           0.0040078,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.046953,            0.015438,                   0,                   0,                   0,                   0,                   0,                   0,           0.0042133,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.039333,            0.015392,                   0,                   0,                   0,                   0,                   0,                   0,           0.0049667,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.045652,            0.013155,                   0,                   0,                   0,                   0,                   0,                   0,           0.0046978,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.042323,            0.012762,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051122,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.039568,             0.01227,                   0,                   0,                   0,                   0,                   0,                   0,           0.0049157,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.038137,            0.013878,                   0,                   0,                   0,                   0,                   0,                   0,           0.0053844,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.044587,            0.013109,                   0,                   0,                   0,                   0,                   0,                   0,           0.0056243,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.040199,            0.011172,                   0,                   0,                   0,                   0,                   0,                   0,           0.0053339,                   0,            0.006436,            0.006436,            0.006436
                  38,             0.03841,            0.010533,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054469,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.031927,            0.010744,                   0,                   0,                   0,                   0,                   0,                   0,           0.0058174,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.048031,           0.0098881,                   0,                   0,                   0,                   0,                   0,                   0,           0.0056453,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.039987,            0.012035,                   0,                   0,                   0,                   0,                   0,                   0,           0.0053606,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.039553,            0.010388,                   0,                   0,                   0,                   0,                   0,                   0,           0.0052052,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.031588,             0.01158,                   0,                   0,                   0,                   0,                   0,                   0,           0.0058384,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.040031,            0.010472,                   0,                   0,                   0,                   0,                   0,                   0,           0.0053411,                   0,            0.005743,            0.005743,            0.005743
                  45,             0.03284,            0.010376,                   0,                   0,                   0,                   0,                   0,                   0,           0.0055175,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.034232,           0.0096749,                   0,                   0,                   0,                   0,                   0,                   0,           0.0049028,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.029941,            0.010561,                   0,                   0,                   0,                   0,                   0,                   0,           0.0052948,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.037081,           0.0095087,                   0,                   0,                   0,                   0,                   0,                   0,           0.0048332,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.032457,            0.010924,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051994,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.031001,           0.0085382,                   0,                   0,                   0,                   0,                   0,                   0,            0.004796,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.028402,            0.010572,                   0,                   0,                   0,                   0,                   0,                   0,           0.0050778,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.036129,           0.0083317,                   0,                   0,                   0,                   0,                   0,                   0,           0.0048943,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.030903,           0.0084769,                   0,                   0,                   0,                   0,                   0,                   0,           0.0046306,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.029712,           0.0095334,                   0,                   0,                   0,                   0,                   0,                   0,           0.0042176,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.024402,            0.010138,                   0,                   0,                   0,                   0,                   0,                   0,            0.004714,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.033194,           0.0094138,                   0,                   0,                   0,                   0,                   0,                   0,           0.0046082,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.027749,            0.008302,                   0,                   0,                   0,                   0,                   0,                   0,           0.0046043,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.028506,           0.0093356,                   0,                   0,                   0,                   0,                   0,                   0,           0.0045376,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.025498,           0.0080188,                   0,                   0,                   0,                   0,                   0,                   0,           0.0049706,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.035096,           0.0087756,                   0,                   0,                   0,                   0,                   0,                   0,           0.0048728,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.027332,           0.0086642,                   0,                   0,                   0,                   0,                   0,                   0,            0.005074,                   0,             0.00406,             0.00406,             0.00406
                  62,             0.02614,           0.0084497,                   0,                   0,                   0,                   0,                   0,                   0,           0.0050836,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.024516,           0.0084411,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054045,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.029027,           0.0073602,                   0,                   0,                   0,                   0,                   0,                   0,           0.0053959,                   0,            0.003763,            0.003763,            0.003763
